"","Course.Id","Title","Description","Credits","Learning.Goals","Distribution.Requirements","CO","CW","G","L","Q","A","FS","H","NS","SS","X3.3.4.3.Early.Assurance.Program.with.the.Drexel.University.Thomas.Kline.School.of.Law","X4.4.Admissions.Early.Interview.Program.with.the.New.York.Institute.of.Technology.College.of","Anthropology..B.A.","Anthropology..Environmental.Anthropology.Concentration..B.A.","Art.History..B.A.","Art..Studio.Art..B.A.","Biology..B.A.","Chemistry..B.A.","Communications..B.A.","Communications..B.A...Digital.Production.and.Cinema.Studies.Concentration","Communications..B.A...Journalism.and.Public.Relations.Concentration","Communications..B.A...Media.Studies.Concentration","Economics..B.A.","English..Creative.Writing.Track..B.A.","English..Literature.Track..B.A.","Environmental.Studies..B.A.","Fine.Arts..B.A.","French..B.A.","History..B.A.","Interdisciplinary.Studies..B.A.","International.Studies..Business.Track..B.A.","International.Studies..Political.Science.Track..B.A.","Latin.American.Studies..B.A.","Liberal.Studies..B.A.","Literature..B.A.","Mathematics..B.A.","Philosophy..B.A.","Physics..B.A.","Political.Science..B.A.","Psychology..B.A.","Social.Science..Psychology.and.Human.Service.Professions.Concentration..B.A.","Social.Science..Social.Cultural.Studies.Concentration..B.A.","Sociology..B.A.","Spanish..B.A.","X4.4.Early.Acceptance.Program..EAP..with.the.LECOM.School.of.Dental.Medicine","Dentistry..B.A..B.S..D.D.S...NYU.","General.Education...Core.Requirements","Law..B.A..B.S..J.D...Albany.","Medicine..B.A..B.S..D.O...Lake.Erie.College.of.Osteopathic.Medicine...LECOM.","Medicine..B.A..B.S..D.O...Philadelphia.College.of.Osteopathic.Medicine...PCOM..","Medicine..B.A..B.S..D.O...NEW.YORK.INSTITUTE.OF.TECHNOLOGY.COLLEGE.OF.OSTEOPATHIC.MEDICINE.NYITCOM.","Optometry..B.S..O.D...SUNY.College.of.Optometry.","Pre.Engineering..B.A..B.S..M.S...Columbia.","Scholar.Teacher.Education.Program..STEP...Teaching.English.to.Speakers.of.Other.Languages..TESOL..5.Year.B.A..M.A..or.B.S..M.A.","The.4.4.Collaborative.Affiliation.Agreement.with.the.Buffalo.School.of.Pharmacy.and.Pharmaceutical.Sciences","The.Scholar.Teacher.Education.Program..STEP...B.A..or.B.S.M.A.","Veterinary.Medicine..B.A..or.B.S..D.V.M...Ross.University.School.of.Veterinary.Medicine.","Accounting..B.B.A.","Management..B.B.A.","Management..Finance.Specialization..B.B.A.","Management..Human.Resource.Management.Specialization..B.B.A.","Management..Management.Information.Systems.Specialization..B.B.A.","Management..Marketing.Specialization..B.B.A.","Accounting.Five.Year.B.B.A..M.B.A.","Art.and.Design.Education..B.F.A.","Art.Education..Pre.K.12...B.F.A.","Art..Studio.Art..B.F.A.","Art..Studio.Art..Graphic.Design.Concentration..B.F.A.","Dance..B.F.A.","Theatre.Arts..Acting..B.F.A.","Theatre.Arts..Design.Technology..B.F.A.","Accelerated.Nursing.Program..leading.to.the.B.S..in.Nursing","Biochemistry..B.S.","Biology..B.S.","Business..B.S...through.College.of.Professional.and.Continuing.Studies.","Chemistry..B.S.","Communication.Sciences.and.Disorders..B.S.","Computer.and.Management.Information.Systems..B.S.","Computer.and.Management.Information.Systems..Game.Development.Concentration..B.S.","Computer.and.Management.Information.Systems..Information.Security.Concentration..B.S.","Computer.Science.B.S.","Criminal.Justice..B.S.","Emergency.Services.Administration..B.S.","Exercise.Science..B.S.","Finance..B.S.","Interdisciplinary.Studies..B.S.","Marketing..B.S.","Mathematics..B.S.","Music.Education..B.S.","Music..B.S.","Music..Composition.Concentration..B.S.","Music..Vocal.Performance.Concentration..B.S.","Natural.Sciences..B.S.","Neuroscience..B.S....Cognitive.Neuroscience.Concentration","Neuroscience..B.S....Molecular.Neuroscience.Concentration","Nursing..B.S.","Nursing..R.N..to.B.S.","Physical.Activity.Studies..B.S.","Physical.Education.and.Health.Education..B.S.","Physical.Education..Teaching..B.S.","Physical.Therapy..B.S..D.P.T...New.York.Institute.of.Technology.","Physical.Therapy..B.S..D.P.T...New.York.Medical.College.","Physics..B.S.","Podiatry..B.S..D.P.M..New.York.College.of.Podiatric.Medicine...NYCPM..","Sport.Management..B.S.","ANSWER.Program.Leading.to.Bachelor.of.Social.Work..B.S.W.","Social.Work..B.S.W.","Social.Work..Child.and.Family.Studies.Concentration..B.S.W."
"734","0136-264","The American Revolution",,"3","","H",0,0,0,0,0,0,0,1,0,0,4,4,1,5,1,3,4,1,1,2,1,4,5,1,5,5,1,1,4,2,1,4,3,1,2,4,1,3,4,4,2,1,5,5,1,5,3,3,5,2,4,3,1,5,5,1,3,3,4,2,4,4,4,1,1,4,5,1,3,1,1,4,4,2,1,1,1,3,1,2,3,1,1,4,2,4,1,3,4,3,2,3,2,4,3,5,5,5,4,3,4,4,1,3,2,3,2,4
"735","0136-266","Civil War and Reconstruction 1848-77",,"3","","H",0,0,0,0,0,0,0,1,0,0,3,5,3,4,4,2,2,4,2,1,1,2,3,4,5,1,4,5,2,5,3,2,1,3,3,4,5,3,2,1,5,1,3,2,5,2,1,2,3,5,4,3,5,5,4,4,5,2,4,1,2,3,2,5,1,5,1,3,5,2,3,1,4,3,2,4,5,4,1,2,3,4,4,5,2,4,1,1,4,5,4,4,5,1,5,1,1,3,5,4,2,5,4,4,1,1,1,1
"736","0136-268","Us History 1920-1945",,"3","","H",0,0,0,0,0,0,0,1,0,0,2,3,5,5,1,3,3,5,1,2,4,2,4,5,3,1,5,5,3,3,1,4,1,2,5,4,2,2,4,3,5,3,4,4,4,4,3,4,1,5,4,4,5,4,2,1,4,2,4,3,2,1,4,4,5,3,5,2,4,4,5,5,2,5,2,4,1,5,4,1,3,2,1,1,2,2,3,1,3,1,3,3,1,1,5,1,2,3,4,4,1,5,2,5,2,5,4,1
"737","0136-272","Food in US History",,"3","","H",0,0,0,0,0,0,0,1,0,0,4,4,3,1,1,2,4,2,2,5,2,3,1,5,3,1,5,4,2,1,4,4,1,5,2,5,4,3,4,3,1,4,1,1,2,4,1,2,2,3,2,3,1,5,5,2,4,5,1,3,2,4,3,1,3,4,3,2,3,4,4,2,1,5,2,1,5,2,4,3,5,2,3,1,4,4,2,1,1,5,4,4,3,3,4,2,1,2,1,3,5,2,1,3,3,1,3,4
"738","0136-281","Women in United States I",,"3","","H",0,0,0,0,0,0,0,1,0,0,3,1,2,3,1,3,3,3,5,2,1,5,1,4,1,2,2,4,4,1,4,4,2,3,5,4,1,1,4,3,3,1,1,1,5,4,2,1,4,2,1,2,3,4,1,3,3,2,4,4,3,2,4,5,1,2,2,4,3,2,5,2,2,1,1,1,1,5,2,5,4,4,2,2,4,2,5,4,2,4,2,3,1,4,2,4,3,5,4,5,5,5,1,1,4,2,1,3
"739","0136-282","Women in United States II",,"3","","H",0,0,0,0,0,0,0,1,0,0,2,2,1,3,2,4,4,1,1,4,1,5,4,4,4,5,1,3,2,5,1,4,2,4,5,3,1,4,2,2,1,3,4,2,3,1,3,2,4,2,5,4,4,2,3,4,2,5,1,2,1,4,1,3,3,2,3,2,5,1,3,4,3,3,2,4,5,5,3,5,5,4,4,3,4,1,1,4,1,4,2,1,2,2,2,4,3,2,5,2,2,3,4,4,3,4,1,4
"740","0136-306","United States Since 1945",,"3","","H",0,0,0,0,0,0,0,1,0,0,4,1,4,2,2,5,4,3,4,1,4,3,4,4,2,4,2,4,3,3,2,5,2,3,4,2,5,1,3,4,2,1,3,3,4,3,2,4,1,2,5,3,1,2,5,3,2,2,5,5,3,1,4,2,2,1,4,5,3,2,4,3,4,1,1,1,3,5,5,1,1,5,1,1,2,2,1,5,1,4,1,5,2,3,4,5,5,1,2,5,1,2,3,3,3,1,4,1
"741","0136-317","The Civil Rights Movement
CROSS LISTED WITH 0101-317",,"3","","H",0,0,0,0,0,0,0,1,0,0,3,5,5,2,1,3,2,1,4,3,4,5,1,1,2,2,2,5,1,2,2,1,4,4,2,5,3,4,4,4,2,4,3,1,3,1,4,4,2,3,3,1,3,1,5,3,4,5,4,3,3,4,1,5,3,2,5,3,2,2,3,1,4,2,3,1,2,5,3,1,1,5,1,5,3,2,5,5,3,5,1,5,1,5,3,3,3,4,1,3,1,5,2,3,3,5,5,1
"742","0136-329","History American Ideas I",,"3","","H",0,0,0,0,0,0,0,1,0,0,2,1,4,1,2,2,5,2,4,1,5,2,1,4,2,5,1,4,1,4,3,2,1,5,5,4,3,3,3,5,1,3,1,1,5,2,3,2,3,3,4,5,5,1,3,2,5,1,1,1,4,4,2,3,1,4,1,5,3,5,4,4,1,5,1,4,2,3,4,3,2,2,1,2,1,4,4,3,2,5,4,1,1,2,3,5,2,3,2,4,1,1,1,2,4,1,4,3
"743","0136-330","History of American Ideas II",,"3","","H",0,0,0,0,0,0,0,1,0,0,2,3,4,2,4,5,1,1,4,3,3,3,3,1,3,3,4,1,4,1,1,5,3,2,2,3,2,3,3,1,1,5,2,2,2,3,5,2,5,4,4,1,1,5,2,4,5,5,2,4,1,5,3,4,2,3,5,5,4,4,5,3,1,2,3,2,4,4,5,3,3,5,3,1,4,2,2,5,1,5,2,3,5,2,3,4,1,3,1,5,1,3,5,5,5,2,4,2
"744","0138-131","Modern Italian Literature I",,"3","","H",0,0,0,0,0,0,0,1,0,0,1,3,3,3,2,4,2,1,4,4,2,2,4,1,3,5,5,1,1,1,5,2,1,3,1,5,3,4,4,5,4,4,3,4,4,5,3,1,4,3,3,3,5,3,3,3,1,5,2,3,2,1,3,1,2,5,2,2,5,2,2,1,3,1,4,5,1,2,2,5,1,5,1,3,1,3,2,1,3,5,5,1,2,4,1,5,1,2,3,4,2,5,4,1,4,3,4,5
"745","0154-110","Introduction To Philosophy",,"3","","H",0,0,0,0,0,0,0,1,0,0,5,5,2,1,2,3,3,3,3,2,3,2,3,4,1,2,1,2,2,5,5,1,5,5,3,1,2,3,3,4,2,1,5,2,4,4,1,2,3,5,1,1,3,3,5,1,3,3,1,3,4,2,2,4,2,4,1,2,3,2,3,5,3,4,3,5,4,3,1,5,1,2,5,5,2,4,1,4,5,5,3,4,5,5,2,3,3,2,4,3,4,2,4,2,2,2,1,4
"746","0154-200","Philosophy Elective",,"1.00 - 6.00","","H",0,0,0,0,0,0,0,1,0,0,4,2,5,4,2,4,1,2,3,3,3,1,1,4,2,4,4,1,2,2,2,3,2,3,2,2,1,1,1,1,3,5,2,4,2,4,3,2,4,2,3,5,4,5,3,1,5,5,4,1,2,4,2,3,3,1,2,4,4,2,5,2,1,3,3,5,5,5,5,3,1,4,2,1,5,4,3,4,3,1,4,4,3,3,4,5,1,3,2,3,1,2,4,3,2,2,1,4
"747","0154-221","Philosophy of The Arts",,"3","","H",0,0,0,0,0,0,0,1,0,0,5,4,5,1,2,2,5,3,2,5,1,2,4,3,4,5,3,2,1,1,5,3,3,3,2,2,5,3,2,4,4,3,2,3,3,1,4,2,1,1,2,1,1,4,2,3,4,3,3,2,5,1,3,1,2,3,4,4,5,1,4,1,4,1,3,5,4,2,4,1,5,5,2,1,5,3,2,5,2,5,5,5,2,3,4,5,5,4,2,2,1,2,1,3,5,5,3,3
"748","0154-222","World Religions
World Religions (PHI 222) does not count toward either the Philosophy major or minors",,"3","","H",0,0,0,0,0,0,0,1,0,0,2,5,2,3,2,2,5,2,5,5,2,1,2,2,5,4,5,4,3,5,3,4,2,5,5,4,1,5,5,1,2,2,3,5,3,4,4,3,3,4,5,2,3,4,1,1,5,1,3,2,1,3,2,5,2,3,2,1,5,4,4,2,3,1,2,4,5,2,5,4,1,4,4,4,5,1,3,1,5,3,4,2,5,4,2,4,3,5,2,4,4,2,1,5,5,1,2,3
"749","0154-270","Philosophy of Sex and Gender",,"3","","H",0,0,0,0,0,0,0,1,0,0,2,2,2,1,1,3,5,4,3,5,1,2,3,2,4,4,4,1,2,2,2,3,2,2,1,2,1,3,5,3,1,4,5,4,2,2,1,5,1,1,4,5,5,3,4,3,3,2,2,3,4,4,1,2,4,3,5,4,3,4,4,1,2,2,5,4,5,3,1,3,3,2,4,3,5,1,2,2,5,5,2,1,4,2,3,2,2,1,2,3,5,2,4,2,3,5,5,4
"750","0154-272","Philosophy of Race and Multiculturalism",,"3","","H",0,0,0,0,0,0,0,1,0,0,5,3,3,1,2,5,2,4,5,4,1,4,3,1,3,2,4,4,1,5,2,5,1,3,1,5,2,4,3,5,3,1,5,3,4,1,4,5,2,2,5,4,5,4,2,2,4,5,3,2,5,5,2,5,3,2,4,1,4,4,2,4,3,5,5,3,3,1,3,2,5,3,2,3,2,3,3,4,2,2,5,4,2,4,3,3,2,4,4,2,2,4,1,5,1,5,1,3
"751","0154-284","Philosophy of Science",,"3","","H",0,0,0,0,0,0,0,1,0,0,2,1,3,1,2,1,1,5,5,2,3,3,4,4,2,1,5,1,1,2,5,3,3,2,1,5,3,1,2,4,2,2,2,1,4,4,5,1,5,3,4,1,4,5,1,3,5,5,4,3,1,3,5,5,3,3,5,4,2,2,2,5,5,2,2,1,3,2,1,5,5,1,5,2,2,3,2,3,1,2,1,1,3,1,1,3,3,3,4,2,3,3,3,5,4,1,3,2
"752","0154-294","Global Justice",,"3","","H",0,0,0,0,0,0,0,1,0,0,1,5,2,3,2,2,2,3,1,5,2,4,2,5,3,5,4,4,4,4,4,5,5,4,3,1,4,2,2,1,5,2,2,4,2,2,1,4,2,2,4,5,3,5,5,2,5,2,4,5,2,3,3,5,5,5,3,1,3,4,3,1,5,1,2,3,2,1,5,5,2,4,1,4,4,5,4,1,1,3,3,3,2,5,4,4,4,5,3,4,4,1,2,5,1,2,1,2
"753","0154-311","History of Philosophy I Ancient Philosophy",,"3","","H",0,0,0,0,0,0,0,1,0,0,5,1,2,4,4,5,2,3,2,2,4,5,1,1,2,2,2,1,2,3,4,3,2,1,4,1,4,3,3,5,5,2,3,4,1,5,1,3,3,4,1,1,2,4,5,1,1,2,5,3,5,5,1,4,5,5,2,4,1,5,2,5,2,3,3,2,3,4,2,4,3,3,1,5,4,2,5,1,1,3,4,5,5,5,3,5,4,4,3,4,2,1,1,5,3,5,4,3
"754","0154-312","The History of Philosophy II: Early Modern Philosophy",,"3","","H",0,0,0,0,0,0,0,1,0,0,3,3,3,1,1,4,3,5,1,4,4,4,1,4,4,5,2,2,4,3,2,2,3,2,5,4,5,5,4,4,2,1,5,4,1,5,3,3,3,5,5,4,1,3,2,4,2,2,2,4,4,4,1,3,2,1,2,5,3,3,2,4,5,2,4,4,4,5,3,2,2,4,5,2,3,4,4,5,4,2,3,2,5,2,4,1,5,3,4,1,3,3,5,3,1,1,3,5
"755","0154-313","History of Philosophy III: Philosophy of the Enlightenment",,"3","","H",0,0,0,0,0,0,0,1,0,0,4,2,5,1,4,1,2,4,1,2,5,5,2,3,3,4,1,1,5,1,4,2,5,3,3,4,1,4,5,4,2,2,3,2,1,3,2,2,2,2,3,1,4,1,1,5,5,3,1,5,5,5,1,5,2,2,4,1,1,2,1,1,4,1,2,4,1,4,1,4,3,3,1,5,3,1,2,3,4,5,2,1,5,3,2,2,5,4,2,3,1,5,1,3,4,2,2,4
"756","0154-314","The History of Philosophy IV: The 19th Century",,"3","","H",0,0,0,0,0,0,0,1,0,0,4,1,3,3,5,3,3,4,5,5,3,5,5,1,3,2,5,4,5,2,5,1,1,4,1,2,1,3,2,3,3,2,5,2,4,3,1,2,2,1,5,2,1,1,2,5,1,1,3,1,3,1,2,5,4,3,4,5,3,3,3,3,5,2,2,3,2,5,1,3,3,3,1,4,1,1,5,4,5,2,2,1,2,3,3,5,4,1,1,3,4,1,5,5,1,1,5,3
"757","0154-315","The History of Philosophy V: The 20th Century",,"3","","H",0,0,0,0,0,0,0,1,0,0,2,4,5,2,4,3,1,3,1,4,3,5,4,4,2,1,4,3,5,3,3,3,1,3,1,2,5,4,2,5,5,4,3,5,2,5,5,3,5,5,5,3,1,1,3,1,4,2,2,5,2,5,4,4,1,4,3,3,4,2,5,2,2,4,1,1,1,2,3,4,2,4,4,2,2,5,2,1,2,1,5,1,5,2,4,1,1,1,4,3,4,1,5,5,1,4,1,3
"758","0154-322","American Philosophy",,"3","","H",0,0,0,0,0,0,0,1,0,0,2,1,2,4,1,5,3,1,5,5,4,2,1,3,4,1,4,4,2,3,4,3,1,2,5,3,1,3,2,2,1,2,4,5,5,5,1,5,3,5,2,2,3,5,2,4,5,2,5,1,3,2,2,1,5,5,2,3,5,5,3,3,2,4,1,4,4,1,5,5,2,1,2,1,5,3,5,1,4,4,1,3,3,2,4,4,5,2,1,4,5,1,3,4,1,4,5,1
"759","0154-330","Existentialism and European Thought",,"3","","H",0,0,0,0,0,0,0,1,0,0,3,3,2,5,1,5,2,2,2,1,4,2,2,4,4,4,4,2,1,5,4,2,5,3,1,1,3,1,1,1,2,2,4,3,2,2,5,4,4,4,4,5,5,5,3,5,4,2,1,3,5,2,1,3,5,1,3,1,5,2,2,1,3,2,2,5,5,2,3,5,1,1,3,2,2,4,1,5,5,3,5,2,2,2,1,3,2,2,5,3,3,1,2,4,3,5,2,4
"760","0154-350","Philosophy of Law",,"3","","H",0,0,0,0,0,0,0,1,0,0,2,1,4,3,4,1,3,5,1,4,3,4,5,2,4,1,5,3,5,5,5,4,2,1,4,3,5,3,2,2,2,1,2,5,4,3,3,5,1,3,4,2,1,1,2,1,2,1,4,4,2,1,4,3,1,3,1,5,2,2,2,1,2,2,5,2,3,1,1,3,4,4,1,1,1,5,3,1,4,3,5,1,5,3,2,4,1,1,3,5,4,3,3,4,1,3,5,1
"761","0154-354","Philosophy of History",,"3","","H",0,0,0,0,0,0,0,1,0,0,1,2,4,2,3,5,1,1,2,1,2,3,3,4,2,4,1,5,2,2,5,3,5,2,4,4,5,1,3,1,3,5,2,4,1,3,2,1,4,3,3,5,3,2,5,4,5,3,2,2,5,2,2,5,3,4,5,1,5,2,2,4,1,1,3,5,1,3,2,2,4,2,1,2,3,4,4,1,2,4,5,2,4,1,3,5,2,4,2,3,5,4,4,3,1,3,2,1
"762","0154-360","Philosophy of Religion",,"3","","H",0,0,0,0,0,0,0,1,0,0,5,1,1,4,1,4,2,1,3,1,2,5,4,2,4,4,2,4,5,3,5,4,1,4,4,4,3,4,5,1,1,4,5,1,1,5,2,3,2,4,5,3,5,3,4,5,4,3,4,4,5,3,1,2,5,3,3,4,5,4,3,1,1,3,4,4,5,2,5,4,5,3,4,2,2,4,4,3,1,4,3,4,4,5,1,4,3,1,3,1,3,4,1,5,1,3,1,4
"763","0154-368","Philosophical Psychology",,"3","","H",0,0,0,0,0,0,0,1,0,0,2,5,1,3,2,2,3,2,4,4,4,2,3,5,2,2,5,3,3,2,4,1,2,2,2,3,2,3,4,3,4,1,3,3,1,2,1,3,5,1,5,3,2,3,3,4,4,2,3,4,3,4,2,5,2,3,3,5,5,4,4,4,2,2,2,3,4,2,1,1,4,3,1,1,2,2,4,4,5,5,3,3,3,5,2,2,3,4,3,4,3,3,1,4,3,1,2,5
"764","0154-380","Bioethics",,"3","","H",0,0,0,0,0,0,0,1,0,0,5,5,3,4,3,1,2,5,4,3,1,1,2,3,4,2,1,2,2,1,2,2,4,2,4,5,5,4,4,3,1,5,1,1,1,1,4,5,5,1,2,1,4,5,2,5,1,2,4,4,1,1,1,1,4,2,3,1,2,3,5,5,3,3,1,5,5,1,5,5,4,3,3,2,4,3,5,4,1,5,1,1,3,2,3,1,5,2,1,3,5,1,5,3,4,1,4,3
"765","0154-406","Recent Political and Cultural Philosophy",,"3","","H",0,0,0,0,0,0,0,1,0,0,2,1,3,1,5,3,1,5,1,3,1,1,1,1,2,5,2,2,4,2,4,4,4,5,2,5,4,5,5,3,2,1,3,5,4,4,3,5,2,5,4,1,1,4,3,1,1,3,2,4,2,5,2,3,4,4,1,1,3,4,2,1,1,3,1,2,4,1,4,2,1,4,5,3,5,3,2,5,2,3,2,5,3,3,1,4,2,4,5,1,3,1,1,4,5,2,2,5
"766","0172-232","Introduction to Hispanic Literature",,"3","","H",0,0,0,0,0,0,0,1,0,0,3,1,4,1,4,5,3,3,4,5,5,5,5,4,4,4,4,3,4,1,5,2,2,1,2,1,3,4,3,1,5,1,2,4,5,3,2,4,2,1,3,2,3,2,4,5,3,1,2,2,1,2,2,1,2,2,1,3,2,2,3,3,4,2,4,4,4,1,5,1,2,1,5,5,5,3,2,5,3,2,4,2,4,1,4,5,4,3,3,3,3,4,4,3,2,1,3,5
"767","0172-325","Development of Hispanic- American Identity",,"3","","H",0,0,0,0,0,0,0,1,0,0,3,2,2,4,4,2,3,1,1,4,4,5,3,3,3,4,3,5,5,2,4,1,4,2,3,3,5,1,4,2,2,5,2,5,4,1,3,2,4,2,4,5,3,4,1,2,1,1,4,1,5,2,4,3,5,5,4,3,5,2,4,4,4,5,1,3,2,5,1,4,2,2,4,3,3,3,2,2,2,1,4,2,3,4,2,2,1,3,3,4,5,5,4,1,1,2,4,2
"768","0172-332","Survey of the Literature of Hispanic America",,"3","","H",0,0,0,0,0,0,0,1,0,0,5,4,5,2,4,3,3,1,5,3,4,3,5,5,4,5,4,1,4,3,5,2,2,2,2,4,3,2,2,5,1,3,5,3,4,2,1,2,2,2,4,3,2,2,2,2,4,1,5,2,3,1,5,3,2,1,2,1,1,5,2,4,2,5,2,5,5,4,5,2,2,1,2,5,3,3,1,4,5,2,3,1,1,2,1,3,5,2,2,3,3,2,4,3,5,4,2,1
"769","0191-235","Dance History and Criticism I",,"3","","H",0,0,0,0,0,0,0,1,0,0,1,4,3,3,5,1,2,2,3,1,2,4,4,4,3,3,2,4,3,4,3,3,1,1,3,4,5,5,5,2,4,3,3,1,4,3,3,3,2,2,3,2,3,4,2,3,1,2,2,5,5,1,5,1,1,3,4,3,3,1,3,1,1,3,3,5,3,2,5,1,5,3,2,5,4,5,4,5,5,5,1,5,4,2,4,3,5,3,1,3,2,5,1,5,1,4,5,2
"770","0191-236","Dance History & Criticism II",,"3","","H",0,0,0,0,0,0,0,1,0,0,2,5,5,2,4,2,1,2,3,1,1,1,3,1,5,5,5,1,1,2,4,2,5,5,1,4,1,3,2,4,1,1,3,4,1,5,4,2,2,2,3,3,1,4,3,5,2,3,5,4,4,1,5,4,3,2,4,1,4,4,2,3,2,4,2,2,2,5,5,3,2,5,3,5,5,3,3,4,2,1,3,5,4,1,3,1,1,1,2,2,3,1,4,3,1,1,1,2
"771","0960-310","Levermore Global Scholars Seminar in the Humanities
Sophomore Standing or HigherFor Levermore Global Scholar Students Only",,"3","","H",0,0,0,0,0,0,0,1,0,0,4,4,2,3,1,3,1,2,3,4,2,1,4,3,4,5,1,1,3,5,4,2,3,1,1,4,4,1,3,1,2,1,3,4,5,4,2,4,4,2,4,4,3,4,2,2,2,5,4,3,2,4,2,3,3,1,1,1,5,5,2,3,2,2,2,2,4,4,4,2,3,2,5,2,1,2,5,1,3,5,3,3,4,5,1,3,4,1,3,2,1,4,2,3,3,4,2,3
"772","0103-112","Physical Anthropology 
18.75 Hours of Lab Work Required",,"3.5","","NS",0,0,0,0,0,0,0,0,1,0,2,1,3,4,5,2,5,5,2,4,1,3,1,1,2,4,1,4,4,1,1,4,5,2,5,4,5,4,5,5,5,1,5,5,4,4,5,5,5,4,3,2,5,4,3,1,1,2,2,1,4,4,2,4,5,5,2,2,5,1,3,5,2,5,5,1,2,4,2,2,1,5,4,1,4,4,4,1,3,2,5,4,5,4,3,3,5,3,4,4,1,1,4,1,5,3,4,3
"773","0103-322","Archaeology of Animals
18.75 hours of lab work required",,"3.5","","NS",0,0,0,0,0,0,0,0,1,0,4,3,3,1,5,2,1,3,4,3,5,5,3,1,5,4,4,3,3,3,1,4,2,4,4,1,4,3,1,2,1,2,4,5,3,1,1,3,5,3,5,2,1,3,3,5,2,5,5,2,3,2,5,1,5,2,3,1,3,5,4,2,4,3,5,1,3,4,2,4,2,1,5,3,5,5,5,2,1,4,3,4,1,2,4,1,2,3,4,4,3,2,4,1,4,3,5,2
"774","0103-362","Jaws,Teeth and Forensic Dentistry
Co-Listed with Biology 0105-362,37.5 Hours of Lab work required.",,"4","","NS",0,0,0,0,0,0,0,0,1,0,5,1,3,1,1,3,3,5,3,2,1,5,1,4,2,4,2,5,5,5,2,5,4,3,5,2,3,2,3,2,3,5,1,2,1,5,2,1,3,3,5,1,1,3,1,4,5,3,1,3,5,1,3,3,4,5,5,2,1,3,5,4,2,4,5,4,5,3,1,2,3,2,5,4,5,1,2,5,1,3,3,4,1,2,4,5,3,1,1,5,4,5,4,5,5,5,3,4
"775","0103-441","Forensic Anthropology 
37.5 Hours of Lab work required",,"4","","NS",0,0,0,0,0,0,0,0,1,0,3,3,3,1,4,2,1,2,1,5,5,2,5,4,2,4,3,5,3,5,5,4,2,4,4,3,2,2,3,1,4,1,1,3,1,3,5,1,2,1,3,3,3,4,5,1,2,1,1,4,2,4,4,3,3,1,1,5,4,3,2,3,4,4,1,5,5,2,5,4,4,2,3,1,1,2,3,5,5,2,2,1,5,1,5,5,5,5,3,2,5,2,4,2,3,4,5,5
"776","0105-103","The Living World 

Student must register for Lecture and Lab",,"4","","NS",0,0,0,0,0,0,0,0,1,0,2,5,3,3,5,1,2,2,2,3,1,2,3,1,4,1,3,3,4,5,5,5,4,2,5,1,3,5,4,3,2,2,2,4,2,4,1,3,5,4,2,1,1,1,2,5,2,4,4,4,3,4,2,4,3,5,5,3,3,2,5,1,5,4,5,1,3,1,3,4,5,5,2,1,2,4,1,3,4,3,2,2,1,4,4,5,5,5,2,5,4,4,3,2,4,1,5,5
"777","0105-104","Darwin to DNA 
Not for Biology Major CreditStudent must register for Lecture and Lab",,"4","","NS",0,0,0,0,0,0,0,0,1,0,1,3,5,5,3,2,3,5,2,1,2,4,4,3,1,2,2,3,3,2,2,5,3,5,3,3,2,4,4,3,1,3,5,5,4,5,2,5,2,1,1,3,1,4,3,3,4,1,3,4,2,3,1,5,4,4,3,3,3,2,2,2,5,2,5,3,1,3,1,1,1,3,5,5,2,1,5,1,1,4,2,4,5,2,5,5,1,5,2,2,1,2,2,2,2,5,4,2
"778","0105-105","Biology Of Aids",,"3","","NS",0,0,0,0,0,0,0,0,1,0,1,3,2,4,1,5,4,1,2,4,4,2,1,1,3,2,5,5,1,4,2,1,2,1,5,2,4,2,1,2,4,5,1,4,2,2,5,4,2,3,2,4,2,5,3,3,3,5,5,5,1,5,3,5,5,2,3,5,5,4,1,4,4,1,4,5,4,1,5,2,1,4,3,1,3,4,3,3,3,4,3,5,3,3,5,5,5,2,4,2,3,4,4,3,4,5,1,4
"779","0105-106","Life Processes in Health and Disease
Not for Biology Major Credit",,"3","","NS",0,0,0,0,0,0,0,0,1,0,2,3,2,3,2,3,4,2,1,2,5,3,5,2,1,5,2,2,5,5,4,3,5,5,3,5,4,1,4,1,1,5,4,1,3,1,4,1,5,5,2,1,2,4,4,5,1,4,1,4,4,5,5,5,3,5,1,4,4,2,4,1,2,2,4,3,1,3,3,2,1,3,2,2,3,3,5,5,3,3,2,1,5,2,2,2,1,4,2,4,4,5,3,4,2,3,1,1
"780","0105-107","Microbes and Society
Not for Biology Majors CreditStudent must register for Lecture and Lab Student must register for Lecture and Lab",,"4","","NS",0,0,0,0,0,0,0,0,1,0,4,5,5,4,1,4,3,2,3,5,5,3,3,1,5,4,1,1,2,1,5,1,5,4,5,1,4,3,2,1,5,4,2,5,1,5,2,3,2,5,3,4,2,2,5,1,2,3,2,4,5,3,4,3,4,3,1,2,1,2,4,3,5,3,4,4,1,2,5,5,1,3,4,1,2,1,3,1,3,3,4,4,4,1,3,2,1,5,2,3,3,2,1,3,1,1,1,3
